"","Species","Burn.intensity.basal","Burn.intensity.basal^2","Burn.intensity.Canopy","Burn.intensity.Canopy^2","fire_dist","forest_dist","Total"
"1","MYYU","-19.118137483922","59.4203140954668",NA,NA,NA,"20.4613927312878","3"
"2","MYCA",NA,NA,NA,NA,"-0.642719490817683",NA,"1"
"3","MYCI",NA,NA,NA,"0.400210651650093",NA,NA,"1"
"4","MYVO",NA,NA,NA,NA,NA,NA,"0"
"5","MYLU",NA,NA,"3.30256222327971","-1.52230216505112",NA,"-1.29712363363652","3"
"6","LABL",NA,NA,NA,NA,"-0.539375859406813",NA,"1"
"7","MYEV",NA,NA,NA,NA,"-0.612578236218075",NA,"1"
"8","ANPA",NA,NA,"0.639903689255125",NA,NA,NA,"1"
"9","MYTH",NA,NA,NA,NA,"-1.56445596342222","-1.41541331862264","2"
"10","COTO",NA,NA,NA,NA,NA,NA,"0"
"11","PAHE",NA,NA,NA,NA,NA,"74.4536613519653","1"
"12","EPFU",NA,NA,"-3.1222597126297","2.66314336939027","-2.07935498668031",NA,"3"
"13","LANO",NA,NA,NA,"0.554465480583234","-0.317807652659841",NA,"2"
"14","TABR","0.982689626659744",NA,NA,NA,"-1.50611874148063","-1.98800715299045","3"
"15","LACI",NA,NA,NA,NA,"-0.238800771994156",NA,"1"
"16","EUMA",NA,"-40.2075207216036",NA,NA,"-73.4637031485406",NA,"2"
"17","EUPE","27.8617130723347",NA,NA,NA,NA,NA,"1"
"18","Total","3","2","3","4","9","5",""
