"","variable","FIRE","mean","std_error"
"1","MYYU","Fire",0.837353583577912,0.0477700340614461
"2","MYYU","No Fire",0.231361319432253,0
"3","MYCA","Fire",0.90122213554686,0
"4","MYCA","No Fire",0.717995120906792,0.00330024420814333
"5","MYCI","Fire",0.203281318443012,0.0175828372841964
"6","MYCI","No Fire",0.122330982123469,0
"7","MYVO","Fire",0.203842689585005,0
"8","MYVO","No Fire",0.203842689585005,0
"9","MYLU","Fire",0.529646863769807,0.0286555481461484
"10","MYLU","No Fire",0.267111066736338,0
"11","LABL","Fire",0.41386604323876,0
"12","LABL","No Fire",0.19596980997917,0.00225417517699994
"13","MYEV","Fire",0.861325804370595,0
"14","MYEV","No Fire",0.648211852612925,0.00356685129933459
"15","ANPA","Fire",0.191839220289728,0.011906664190763
"16","ANPA","No Fire",0.0713979320121904,0
"17","MYTH","Fire",0.230294869534457,0.0200622422359495
"18","MYTH","No Fire",0.159679244431801,0.00579692618944658
"19","COTO","Fire",0.348636379980777,0
"20","COTO","No Fire",0.348636379980777,0
"21","PAHE","Fire",0.344204317456278,0.0635397663891926
"22","PAHE","No Fire",1.99296877452806e-68,0
"23","EPFU","Fire",0.644599247486001,0.0397560437960531
"24","EPFU","No Fire",0.365762709012028,0.0124976288479067
"25","LANO","Fire",0.725517985170977,0.0198997083603503
"26","LANO","No Fire",0.486885395598041,0.00205974096911285
"27","TABR","Fire",0.713607958453847,0.0228847873717311
"28","TABR","No Fire",0.583805890552455,0.00914076645274059
"29","LACI","Fire",0.659954009016798,0
"30","LACI","No Fire",0.547423900505754,0.00153210159426891
"31","EUMA","Fire",0.782070838961258,0.0561519841405505
"32","EUMA","No Fire",0.183505267194269,0.0458396679480084
"33","EUPE","Fire",0.912600019140231,0.0366263582086143
"34","EUPE","No Fire",0.000645092557082674,0
